plu;Q (m3s);ev (mm/h);Q(mm/h)
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.096;0.018
0;2;0.174;0.018
0;2;0.216;0.018
0;2;0.27;0.018
0;2;0.306;0.018
0;2;0.324;0.018
0;2;0.324;0.018
0;2;0.306;0.018
0;2;0.27;0.018
0;2;0.216;0.018
0;2;0.174;0.018
0;2;0.096;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
4;5.4;0;0.0492
0;3.37;0;0.03
0;2.69;0;0.024
0;2.4;0.132;0.0216
0;2.26;0.228;0.0204
0;2.18;0.294;0.0192
0;2.13;0.36;0.0192
16.4;24.18;0.408;0.2172
0;6.24;0.438;0.0564
0.2;3.55;0.438;0.0324
0;2.76;0.408;0.0252
0;2.44;0.36;0.0216
0;2.28;0.294;0.0204
0;2.19;0.228;0.0192
0;2.14;0.132;0.0192
0;2.1;0;0.0192
0;2.08;0;0.0192
0;2.06;0;0.018
0;2.05;0;0.018
0;2.04;0;0.018
0;2.03;0;0.018
0;2.03;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.01;0;0.018
0;2.01;0.138;0.018
0;2.01;0.246;0.018
0;2.01;0.312;0.018
0;2.01;0.384;0.018
0;2.01;0.438;0.018
0;2.01;0.462;0.018
0;2.01;0.462;0.018
0;2.01;0.438;0.018
0;2.01;0.384;0.018
0;2;0.312;0.018
0;2;0.246;0.018
0;2;0.138;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.126;0.018
0;2;0.222;0.018
0;2;0.282;0.018
0;2;0.348;0.018
0;2;0.396;0.018
0;2;0.42;0.018
0;2;0.42;0.018
0;2;0.396;0.018
0;2;0.348;0.018
0;2;0.282;0.018
0;2;0.222;0.018
0;2;0.126;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.132;0.018
0;2;0.228;0.018
0;2;0.294;0.018
0;2;0.36;0.018
0;2;0.408;0.018
0;2;0.438;0.018
0;2;0.438;0.018
0;2;0.408;0.018
0;2;0.36;0.018
0;2;0.294;0.018
0;2;0.228;0.018
0;2;0.132;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.12;0.018
0;2;0.216;0.018
0;2;0.276;0.018
0;2;0.336;0.018
0;2;0.384;0.018
0;2;0.408;0.018
0;2;0.408;0.018
0;2;0.384;0.018
0.4;2.11;0.336;0.0192
0.2;2.08;0.276;0.0192
0;2.06;0.216;0.018
3.2;4.7;0.12;0.042
12;18.75;0;0.1692
2.6;8.58;0;0.0768
0.2;4.09;0;0.0372
0.2;2.95;0;0.0264
0;2.52;0;0.0228
0;2.32;0;0.0204
0;2.21;0;0.0204
0;2.15;0;0.0192
0;2.11;0;0.0192
0;2.08;0;0.0192
0;2.07;0;0.0192
0;2.05;0;0.018
0;2.04;0.066;0.018
0;2.04;0.12;0.018
0;2.03;0.15;0.018
0;2.03;0.186;0.018
0;2.02;0.21;0.018
0;2.02;0.222;0.018
0;2.02;0.222;0.018
0;2.01;0.21;0.018
0;2.01;0.186;0.018
0;2.01;0.15;0.018
0;2.01;0.12;0.018
0.2;2.01;0.066;0.018
3;4.32;0;0.0384
4.4;7.79;0;0.0696
0.6;4.52;0;0.0408
0;3.09;0;0.0276
0.2;2.58;0;0.0228
0;2.35;0;0.0216
0;2.23;0;0.0204
0;2.16;0;0.0192
0;2.12;0;0.0192
0;2.09;0;0.0192
0;2.07;0;0.0192
0;2.06;0;0.018
0;2.04;0.042;0.018
0;2.04;0.072;0.018
0;2.03;0.09;0.018
0;2.03;0.108;0.018
0.4;2.17;0.126;0.0192
0;2.12;0.132;0.0192
0;2.09;0.132;0.0192
0;2.07;0.126;0.0192
0;2.06;0.108;0.018
